Timestamp,"IGN WITH TAG(YOM#YAWA)
(Optional)",SUMMONER LEVEL,CURRENT RANK,PREFERRED ROLE,TOP,JUNGLE,MID,BOT,SUPPORT, WINRATE,PLAYSTYLE
6/13/2024 10:27:58,PBB Yom#YAWA,506,EMERALD,JUNGLE,Yorick,Karthus,Tristana,Senna,Nautilus,80,AGGRESSIVE
6/13/2024 10:37:56,Akeno Himejima ツ #xoxo,46,IRON,SUPPORT,Malphite,Lee Sin,Ahri,Ashe,LUX,50,BALANCED
6/13/2024 10:42:42,Yukino#04177,789,CHALLENGER,MID,Riven,Viego,Zoe,Kaisa,Leblanc,62,AGGRESSIVE
6/13/2024 10:46:23,Kamigumi#Rixy,246,DIAMOND,JUNGLE,Fiora,Kindred,Tristana,Aphelios,Blitzcrank,65,BALANCED
6/13/2024 10:56:34,TWC Treestan #Sana,51,IRON,TOP,Shen,Hecarim,Tristana,Ashe,Rell,50,DEFENSIVE
6/13/2024 11:07:32,Twister#XDD,300,GOLD,JUNGLE,Yasuo,Lee Sin,Azir,Kaisa,Pyke,80,AGGRESSIVE
6/13/2024 11:17:40,NeoCryo#Ganyu,200,GOLD,JUNGLE,Yorick ,Nunu,Ahri,Jhin,Leona,47,AGGRESSIVE
6/13/2024 11:19:05,PBB Rodje#002,245,EMERALD,TOP,Urgot,Jarvan IV,Veigar,Jhin,Thresh,49,BALANCED
6/13/2024 11:50:02,Spl1t Demon#God,486,DIAMOND,TOP,Tryndamere,Hecarim,Zed,Lucian,Nautilus ,50,AGGRESSIVE
6/13/2024 14:00:36,nomnom#sushi,116,BRONZE,SUPPORT,Lux,Nunu and Willump,Vex,Seraphine,Morgana,57.1,AGGRESSIVE
6/13/2024 18:42:05,T1 Nyx#sushi,505,PLATINUM,TOP,Riven,Graves,Galio,Caitlyn,Yas,70,BALANCED
6/13/2024 18:46:55,PBB YORT#YUQI,349,SILVER,JUNGLE,Renekton,Udyr,Leblanc,Aphelios,Thresh,58,BALANCED
