A#,G#,C#,C#,F#,F#,B,A,D,E,E,C#,F#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#,B,E,F#,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#,F#,B,E,A,F#,C,D,D,Eb,G,C,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,E,A,D,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,D,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,A,D,B,B,E,G,C,F#,E,A,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A,D,A,D,F,A,A,E,Bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F#,B,G#,D#,G#,B,C#,E,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,G,C,A,Bb,B,F#,Eb,A,D,G#,C#,F#,B,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bb,Ab,Eb,G,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,D,G,G,C,F#,Bb,C,C#,C#,A#,D#,G#,A#,G#,F#,,,,,,,,,,,,,,,,,,,,,,,,,,,
F#,B,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,A,G,F#,B,B,A,A,G,E,A,D,A,G#,C#,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,D,E,A,F#,B,C#,C#,G,A,A,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,D,G#,F#,C#,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,C#,F#,G#,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,F,D,G,A,B,D,C,F,Eb,G,E,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#,Eb,D,C,F,F#,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,F,A,D,D,G,G,E,E,A,D,G,E,D,Bb,A,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,G,C,F#,G,A,F#,D,F#,B,E,A,A,D,G,C,F,A,F#,A,D,Bb,C,C,F,Eb,Ab,G,B,E,G,F,F,Bb,Bb,Eb,Ab,Ab,Db,B,Ab,Db,Ab
B,E,A,D,G,A,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,E,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
